<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20020207,000000,0.369552,0.379146,0.361134,0.364413,414210284,0
AAPL.US,D,20020208,000000,0.365836,0.369552,0.350595,0.360505,423139586,0
AAPL.US,D,20020211,000000,0.35863,0.374874,0.356009,0.374609,474668353,0
AAPL.US,D,20020212,000000,0.369854,0.375483,0.366401,0.370641,267079716,0
AAPL.US,D,20020213,000000,0.370946,0.378507,0.369552,0.375137,372577830,0
AAPL.US,D,20020214,000000,0.375758,0.378507,0.365564,0.36893,309819128,0
AAPL.US,D,20020215,000000,0.368018,0.374609,0.357736,0.358306,309839113,0
AAPL.US,D,20020219,000000,0.356302,0.358019,0.33705,0.339243,464732041,0
AAPL.US,D,20020220,000000,0.341303,0.347895,0.335272,0.346657,339914811,0
AAPL.US,D,20020221,000000,0.343732,0.344898,0.321485,0.322448,532005445,0
AAPL.US,D,20020222,000000,0.324764,0.344024,0.322448,0.34099,484044462,0
AAPL.US,D,20020225,000000,0.342779,0.370641,0.335272,0.35696,508305048,0
AAPL.US,D,20020226,000000,0.35863,0.365564,0.348532,0.355075,309772370,0
AAPL.US,D,20020227,000000,0.358972,0.363531,0.314018,0.329351,1226746037,0
AAPL.US,D,20020228,000000,0.332004,0.338684,0.320268,0.325441,544135703,0
AAPL.US,D,20020301,000000,0.328712,0.352384,0.32721,0.35151,415590677,0
AAPL.US,D,20020304,000000,0.348828,0.368649,0.341303,0.364111,414717077,0
AAPL.US,D,20020305,000000,0.36192,0.366102,0.35091,0.352993,327124235,0
AAPL.US,D,20020306,000000,0.352078,0.365002,0.343732,0.361134,269373718,0
AAPL.US,D,20020307,000000,0.360838,0.368018,0.353896,0.365564,307531782,0
AAPL.US,D,20020308,000000,0.370946,0.376091,0.364413,0.369854,321255897,0
AAPL.US,D,20020311,000000,0.36893,0.376947,0.361389,0.375758,312933361,0
AAPL.US,D,20020312,000000,0.367725,0.370946,0.361389,0.370641,302536988,0
AAPL.US,D,20020313,000000,0.365564,0.372752,0.36192,0.367057,239078031,0
